Model,k-shot,Winograd_acc,Winograd_acc_std,Winograd_f1,Winograd_f1_std,RuWorldTree_acc,RuWorldTree_acc_std,RuWorldTree_f1,RuWorldTree_f1_std,RuOpenBookQA_acc,RuOpenBookQA_acc_std,RuOpenBookQA_f1,RuOpenBookQA_f1_std,MultiQ_acc,MultiQ_acc_std,MultiQ_f1,MultiQ_f1_std,CheGeKa_acc,CheGeKa_acc_std,CheGeKa_f1,CheGeKa_f1_std,Ethics1_acc,Ethics1_acc_std,Ethics1_f1,Ethics1_f1_std,Ethics2_acc,Ethics2_acc_std,Ethics2_f1,Ethics2_f1_std,Avg_acc,Avg_f1
Human,-1,86.6,,87.0,,83.8,,83.7,,87.5,,86.5,,92.8,,91.0,,71.9,,64.5,,51.0,,52.9,,73.0,,67.6,,78.09,76.17
sberbank-ai/rugpt3large_based_on_gpt2,1,36.7,0.0,58.0,0.0,38.2,0.8,38.2,0.8,39.8,1.0,39.8,1.1,0.12,0.4,0.0,0.0,0.47,0.11,0.0,0.0,14.3,11.1,59.9,5.8,49.6,7.1,60.8,5.7,25.6,36.69
sberbank-ai/rugpt3large_based_on_gpt2,4,38.8,2.9,58.4,0.5,40.9,0.8,40.8,0.8,39.6,0.8,39.6,0.8,0.1,0.14,0.0,0.0,0.54,0.44,0.54,0.4,11.8,12.4,60.4,11.1,44.5,15.9,59.6,8.1,25.1,36.96
sberbank-ai/rugpt3large_based_on_gpt2,8,39.2,3.2,57.6,1.5,41.9,0.7,41.9,0.7,38.8,1.5,38.9,1.5,0.0,0.0,0.0,0.0,0.54,0.4,0.54,0.4,23.3,8.3,58.1,3.4,52.0,8.5,63.7,2.4,28.33,37.12
sberbank-ai/rugpt3large_based_on_gpt2,0,39.2,,55.5,,40.8,,40.7,,39.6,,39.6,,0.14,,0.0,,0.57,,0.0,,0.3,,68.6,,8.0,,44.9,,18.15,35.73
sberbank-ai/rugpt3medium_based_on_gpt2,0,39.5,,57.2,,38.0,,38.0,,34.8,,34.8,,0.18,,0.0,,0.75,,0.0,,2.4,,68.3,,5.3,,44.1,,17.29,34.71
sberbank-ai/rugpt3medium_based_on_gpt2,1,36.7,0.0,58.0,0.0,36.3,0.6,36.3,0.6,36.7,0.8,36.8,0.8,0.11,0.03,0.0,0.0,0.47,0.11,0.0,0.0,14.3,11.1,59.9,5.8,49.6,7.1,60.8,5.7,24.9,35.99
sberbank-ai/rugpt3medium_based_on_gpt2,4,39.7,4.1,57.9,0.6,38.9,1.0,38.8,1.0,36.3,1.3,36.4,1.3,0.12,0.18,0.0,0.0,0.85,0.52,0.92,0.53,14.9,16.0,58.6,13.1,45.5,13.7,59.0,7.3,25.57,35.74
sberbank-ai/rugpt3medium_based_on_gpt2,8,39.0,5.9,54.3,6.5,40.1,0.5,40.1,0.5,35.7,0.9,35.8,1.0,0.1,0.15,0.0,0.0,0.42,0.19,0.42,0.19,19.6,10.6,60.1,5.1,57.7,9.0,64.2,2.1,27.78,36.83
sberbank-ai/rugpt3small_based_on_gpt2,4,41.0,5.3,54.8,3.9,34.3,0.9,34.3,0.9,34.6,0.6,34.6,0.6,0.09,0.06,0.0,0.0,0.62,0.34,0.65,0.29,23.5,13.8,54.3,12.3,56.7,10.8,61.3,5.0,27.44,34.31
sberbank-ai/rugpt3small_based_on_gpt2,8,36.9,0.4,54.8,6.5,35.1,0.9,35.1,0.8,33.6,0.5,33.7,0.5,0.12,0.22,0.0,0.0,0.35,0.26,0.35,0.26,32.4,6.9,50.4,4.0,63.7,9.5,61.7,4.2,29.04,33.56
sberbank-ai/rugpt3small_based_on_gpt2,0,38.6,,57.9,,34.1,,34.0,,33.9,,34.0,,0.17,,0.0,,1.0,,0.0,,34.1,,55.5,,48.5,,60.9,,27.24,34.64
sberbank-ai/rugpt3small_based_on_gpt2,1,36.7,0.0,58.0,0.0,33.5,0.4,33.5,0.4,34.9,0.8,35.0,0.8,0.13,0.04,0.0,0.0,0.52,0.14,0.0,0.0,14.3,11.1,59.9,5.8,49.6,7.1,60.8,5.7,24.24,35.33
Random,-1,51.7,,51.3,,26.0,,26.1,,21.4,,21.6,,-1.0,,-1.0,,-1.0,,-1.0,,36.5,,47.9,,54.1,,52.0,,-1.0,-1.0
Linear,-1,36.7,,58.0,,14.3,,25.8,,11.4,,25.2,,-1.0,,-1.0,,-1.0,,-1.0,,0.0,,68.6,,49.0,,65.3,,-1.0,-1.0
